split,seed,family,case_count,rca_top1,agent_ready_rate
development,42,F1,2,1,1
development,42,F2,1,1,1
development,42,F3,1,1,1
development,42,F4,1,1,1
development,42,F5,1,1,1
development,42,F6,1,1,1
development,43,F1,2,1,1
development,43,F2,1,1,1
development,43,F3,1,1,1
development,43,F4,1,1,1
development,43,F5,1,1,1
development,43,F6,1,1,1
development,44,F1,2,1,1
development,44,F2,1,1,1
development,44,F3,1,1,1
development,44,F4,1,1,1
development,44,F5,1,1,1
development,44,F6,1,1,1
validation,101,F1,2,1,1
validation,101,F2,1,1,1
validation,101,F3,1,1,1
validation,101,F4,1,1,1
validation,101,F5,1,1,1
validation,101,F6,1,1,1
validation,103,F1,2,1,1
validation,103,F2,1,1,1
validation,103,F3,1,1,1
validation,103,F4,1,1,1
validation,103,F5,1,1,1
validation,103,F6,1,1,1
held_out,211,F1,2,1,1
held_out,211,F2,1,1,1
held_out,211,F3,1,1,1
held_out,211,F4,1,1,1
held_out,211,F5,1,1,1
held_out,211,F6,1,1,1
held_out,223,F1,2,1,1
held_out,223,F2,1,1,1
held_out,223,F3,1,1,1
held_out,223,F4,1,1,1
held_out,223,F5,1,1,1
held_out,223,F6,1,1,1
held_out,227,F1,2,1,1
held_out,227,F2,1,1,1
held_out,227,F3,1,1,1
held_out,227,F4,1,1,1
held_out,227,F5,1,1,1
held_out,227,F6,1,1,1
